"Name","RA","DEC"
"SN1987A","05:35:28.020,05:35:28,05:35:28.01,05:35:27.99","-69:16:11.07,-69:16:11,-69:16:11.61,-69:16:11.50,-69:16:11.5,-69:16:11.6"
"SN2011fe","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.39,+54:16:25.3"
"SN2003dh","10:44:50.030,10:44:50.01,10:44:50.018","+21:31:18.15,+21:31:17.8,+21:31:17.80,+21:31:17.89"
"SN1993J","09:55:24.7747,09:55:24.95,09:55:25.00","+69:01:13.702,+69:01:13.38,+69:01:13.01,+69:01:13.0,+69:01:13.4"
"SN2002ap","01:36:23.85,01:36:23.87","+15:45:13.2,+15:45:13.21,+15:45:13.0"
"CSS141118:092034+504148","09:20:34.26,09:20:34.38,09:20:34.32","+50:41:48.40,+50:41:47.7,+50:41:48.4,+50:41:46.68"
"SN2009ip","22:23:08.3,22:23:08.26","-28:56:52,-28:56:52.4,-28:56:52.40"
"SN2011dh","13:30:05.1055,13:30:05.12,13:30:05.124","+47:10:10.922,+47:10:11.3,+47:10:10.81,+47:10:11.301"
"SN2012dn","20:23:36.26","-28:16:43.4,-28:16:43.39"
"SN2013ej","01:36:48.16","+15:45:31.0,+15:45:31.00"
"SN2012aw","10:43:53.735,10:43:53.752,10:43:53.76,10:43:53.72","+11:40:17.63,+11:40:17.89,+11:40:17.9,+11:40:17.90,+11:40:17.7"
"SN1999ee","22:16:09.40,22:16:10.00","-36:50:31.5,-36:50:39.7,-36:50:39.70"
"SN2013dy","22:18:17.60","+40:34:09.6,+40:34:09.59"
"SN2000cx","01:24:46.19,01:24:46.15","+09:30:31.3,+09:30:30.9,+09:30:30.89"
"SN1999em","04:41:27.04,04:41:27.168,04:41:27.13,04:41:27.05","-02:51:45.2,-02:51:45.828,-02:51:45.4,-02:51:45.22,-02:51:45.8"
"SN2005cf","15:21:33.12,15:21:33.36,15:21:32.21","-07:26:57.1,-07:26:55.464,-07:24:47.5,-07:24:47.48"
"SN1998bu","10:46:46.01,10:46:46.03","+11:50:07.5,+11:50:07.12,+11:50:07.15"
"ASASSN-14ha","04:20:01.41,04:20:01.416","-54:56:17.0,-54:56:17.16"
"SN2007af","14:22:21.03,14:22:21.12,14:22:21.06","-00:23:37.6,-00:23:37.68,-00:23:37.60,-00:23:37.72"
"SN2012fr","03:33:35.99,03:33:36.288","-36:07:37.7,-36:07:37.70,-36:07:35.04"
"SN2010jl","09:42:53.33,09:42:53.28","+09:29:41.8,+09:29:42.144,+09:29:41.78"
"SN2014J","09:55:42.12,09:55:42.14","+69:40:25.9,+69:40:26.00,+69:40:26.0"
"SN2015bn","11:33:41.57,11:33:41.55,11:33:41.52","+00:43:32.2,+00:43:33.50,+00:43:32.3,+00:43:33.46"
"PTF12hsx","00:55:03.33,00:55:03.328","+42:19:52.0,+42:19:52.01"
"Gaia16apu","17:03:57.90,17:03:57.888,17:03:57.84","+76:46:10.30,+76:46:10.29,+76:46:10.2"
"SN2009dc","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28.5"
"Gaia16ael","16:38:53.70,16:38:53.67,16:38:53.76","+58:35:26.90,+58:35:26.9,+58:35:26.88"
"SN2005bf","10:23:56.99,10:23:57.27","-03:11:29.3,-03:11:28.6,-03:11:29.29"
"SN2016bln","13:34:45.49","+13:51:14.30,+13:51:14.3,+13:51:14.0"
"SN2004eo","20:32:54.19,20:32:54.24","+09:55:42.7,+09:55:42.71"
"SN2002bo","10:18:06.51,10:18:06.52","+21:49:41.7,+21:49:41.70,+21:49:41.2"
"SN2007gr","02:43:27.98","+37:20:44.7,+37:20:44.70"
"SN2016bkv","10:18:19.31","+41:25:39.30,+41:25:39.3"
"SN2004et","20:35:25.33,20:35:25.360","+60:07:17.7,+60:07:17.69,+60:07:17.74"
"SN1991T","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3"
"SN2014cx","00:59:47.83,00:59:47.832,00:59:48","-07:34:18.6,-07:34:18.59,-07:34:18.588,-07:34:18.84"
"SN2016dxj","16:40:16.20,16:40:16.08","+22:46:58.30,+22:46:58.3,+22:46:58.44"
"SN2006jc","09:17:20.78,09:17:20.88","+41:54:32.7,+41:54:32.76,+41:54:32.69"
"SN2005ke","03:35:04.35,03:35:04.344,03:35:4.34","-24:56:38.8,-24:56:38.76,-24:56:38.80"
"SN2006X","12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.92","+15:48:32.0,+15:48:32.04,+15:48:33.12,+15:48:33.1,+15:48:33.08,+15:48:31.2"
"iPTF13bvn","15:00:00.152,15:00:00.18","+01:52:53.17,+01:52:53.5"
"SN2013ab","14:32:44.49","+09:53:12.3,+09:53:12.30"
"SN2008ax","12:30:40.80","+41:38:16.1,+41:38:14.5,+41:38:14.50"
"SN2005cs","13:29:53.37,13:29:52.85,13:29:52.78","+47:10:28.2,+47:10:36.3,+47:10:35.69"
"SN2013fs","23:19:44.70,23:19:44.700,23:19:44.67","+10:11:05.0,+10:11:04.40,+10:11:04.49,+10:11:04.5,+10:11:04.3"
"SN2008hv","09:07:34.06,09:07:34.066,09:07:34.08","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10"
"SN1999ex","22:16:07.27","-36:50:53.7,-36:50:53.70"
"SN2003du","14:34:35.80,14:34:35.76,14:34:35.808","+59:20:03.8,+59:20:03.84,+59:20:03.80,+59:20:03.89"
"SN2001el","03:44:30.60,03:44:30.57","-44:38:23.4,-44:38:23.7,-44:38:23.71"
"ASASSN-14lp","12:45:09.10,12:45:09.12","-00:27:32.4,-00:27:32.5,-00:27:32.49"
